Jacqui,123 Texas Hill,602-275-9520,357085,CIV
Shir,6 Rusk Terrace,629-200-6159,5456,Guinee
Wallis,460 Mccormick Park,328-786-9216,589372,Nigeria
Goldina,69178 Anzinger Trail,357-905-0189,305345,Mali
Lenard,42 Holmberg Point,459-724-6620,5010127,Senegal
Yvor,9287 Old Shore Center,232-982-5499,560283,Niger
Evey,05968 Dennis Trail,783-186-8508,502088,Gabon
Lon,923 Bobwhite Trail,122-616-6173,3541457,Benin
Curtis,351 International Parkway,100-849-7121,35375,Guinee
FIN,351 International Parkway,585-849-7121,8521,Senegal
